tier	stratum	detected	total	sensitivity	threshold
0.01x	far	0	9	0.0000	0.5000
0.01x	mid	0	9	0.0000	0.5000
0.01x	near	1	11	0.0909	0.5000
0.1x	far	0	18	0.0000	0.6000
0.1x	mid	5	18	0.2778	0.6000
0.1x	near	5	18	0.2778	0.6000
0.2x	far	0	18	0.0000	0.5965
0.2x	mid	6	18	0.3333	0.5965
0.2x	near	6	18	0.3333	0.5965
0.4x	far	0	18	0.0000	0.6264
0.4x	mid	5	18	0.2778	0.6264
0.4x	near	7	18	0.3889	0.6264
0.8x	far	0	18	0.0000	0.6026
0.8x	mid	14	18	0.7778	0.6026
0.8x	near	7	18	0.3889	0.6026
1x	far	0	50	0.0000	0.6185
1x	mid	11	15	0.7333	0.6185
1x	near	1	16	0.0625	0.6185
