tier	kind	stratum	detected	total	sensitivity	auc	median_statistic	threshold
0.01x	doublet	far	2	16	0.1250	0.7631	0.0284	0.0542
0.01x	doublet	mid	6	16	0.3750	0.8800	0.0468	0.0542
0.01x	doublet	near	11	18	0.6111	0.9156	0.0644	0.0542
0.01x	ambient	0.01	14	17	0.8235	0.9523	0.0703	0.0542
0.01x	ambient	0.05	13	18	0.7222	0.9580	0.0713	0.0542
0.01x	ambient	0.1	10	16	0.6250	0.9335	0.0627	0.0542
0.1x	doublet	far	18	18	1.0000	1.0000	0.3524	0.0502
0.1x	doublet	mid	15	18	0.8333	0.9954	0.0646	0.0502
0.1x	doublet	near	0	18	0.0000	0.7577	0.0099	0.0502
0.1x	ambient	0.01	0	18	0.0000	0.6641	0.0051	0.0502
0.1x	ambient	0.05	0	18	0.0000	0.9329	0.0200	0.0502
0.1x	ambient	0.1	2	18	0.1111	0.9494	0.0346	0.0502
0.2x	doublet	far	18	18	1.0000	1.0000	0.3613	0.0509
0.2x	doublet	mid	15	18	0.8333	0.9959	0.0647	0.0509
0.2x	doublet	near	0	18	0.0000	0.7752	0.0102	0.0509
0.2x	ambient	0.01	0	18	0.0000	0.7570	0.0050	0.0509
0.2x	ambient	0.05	0	18	0.0000	0.9332	0.0163	0.0509
0.2x	ambient	0.1	2	18	0.1111	0.9653	0.0307	0.0509
0.4x	doublet	far	18	18	1.0000	1.0000	0.3544	0.0511
0.4x	doublet	mid	16	18	0.8889	0.9969	0.0649	0.0511
0.4x	doublet	near	0	18	0.0000	0.7730	0.0109	0.0511
0.4x	ambient	0.01	0	18	0.0000	0.8496	0.0041	0.0511
0.4x	ambient	0.05	0	18	0.0000	0.9447	0.0167	0.0511
0.4x	ambient	0.1	2	18	0.1111	0.9653	0.0336	0.0511
0.8x	doublet	far	18	18	1.0000	1.0000	0.3610	0.0503
0.8x	doublet	mid	16	18	0.8889	0.9969	0.0646	0.0503
0.8x	doublet	near	0	18	0.0000	0.7689	0.0089	0.0503
0.8x	ambient	0.01	0	18	0.0000	0.8864	0.0044	0.0503
0.8x	ambient	0.05	0	18	0.0000	0.9494	0.0159	0.0503
0.8x	ambient	0.1	2	18	0.1111	0.9670	0.0340	0.0503
1x	doublet	far	18	50	0.3600	0.7906	0.0052	0.0505
1x	doublet	mid	7	15	0.4667	0.9796	0.0457	0.0505
1x	doublet	near	4	16	0.2500	0.8651	0.0079	0.0505
1x	ambient	0.01	0	26	0.0000	0.7464	0.0029	0.0505
1x	ambient	0.05	0	25	0.0000	0.7347	0.0036	0.0505
1x	ambient	0.1	1	25	0.0400	0.7946	0.0064	0.0505
