g1	g2	ani
GCA_000167875.2_ASM16787v2_genomic	GCF_000005845.2_ASM584v2_genomic	98.44
GCA_000167875.2_ASM16787v2_genomic	GCF_000968515.1_ASM96851v1_genomic	98.19
GCA_000167875.2_ASM16787v2_genomic	GCF_001559675.1_ASM155967v1_genomic	98.25
GCA_000167875.2_ASM16787v2_genomic	GCF_003112245.1_ASM311224v1_genomic	98.98
GCA_000167875.2_ASM16787v2_genomic	GCF_008124285.1_ASM812428v1_genomic	98.41
GCA_000167875.2_ASM16787v2_genomic	GCF_047344975.1_ASM4734497v1_genomic	98.35
GCA_000167875.2_ASM16787v2_genomic	GCF_049569765.1_ASM4956976v1_genomic	98.80
GCF_000005845.2_ASM584v2_genomic	GCF_000968515.1_ASM96851v1_genomic	99.45
GCF_000005845.2_ASM584v2_genomic	GCF_001559675.1_ASM155967v1_genomic	99.97
GCF_000005845.2_ASM584v2_genomic	GCF_003112245.1_ASM311224v1_genomic	98.41
GCF_000005845.2_ASM584v2_genomic	GCF_008124285.1_ASM812428v1_genomic	99.99
GCF_000005845.2_ASM584v2_genomic	GCF_023374935.1_ASM2337493v1_genomic	83.04
GCF_000005845.2_ASM584v2_genomic	GCF_041320245.1_ASM4132024v1_genomic	83.01
GCF_000005845.2_ASM584v2_genomic	GCF_047344975.1_ASM4734497v1_genomic	99.94
GCF_000005845.2_ASM584v2_genomic	GCF_049569765.1_ASM4956976v1_genomic	98.40
GCF_000240185.1_ASM24018v2_genomic	GCF_030505655.1_ASM3050565v1_genomic	84.21
GCF_000968515.1_ASM96851v1_genomic	GCF_001559675.1_ASM155967v1_genomic	99.18
GCF_000968515.1_ASM96851v1_genomic	GCF_003112245.1_ASM311224v1_genomic	98.26
GCF_000968515.1_ASM96851v1_genomic	GCF_008124285.1_ASM812428v1_genomic	99.59
GCF_000968515.1_ASM96851v1_genomic	GCF_047344975.1_ASM4734497v1_genomic	99.59
GCF_000968515.1_ASM96851v1_genomic	GCF_049569765.1_ASM4956976v1_genomic	98.08
GCF_001022135.1_ASM102213v1_genomic	GCF_041937165.1_UNISA_Eadel_1.0_genomic	85.61
GCF_001277215.2_ASM127721v2_genomic	GCF_049942935.1_z1159_genomic	83.14
GCF_001559675.1_ASM155967v1_genomic	GCF_003112245.1_ASM311224v1_genomic	98.26
GCF_001559675.1_ASM155967v1_genomic	GCF_008124285.1_ASM812428v1_genomic	99.95
GCF_001559675.1_ASM155967v1_genomic	GCF_047344975.1_ASM4734497v1_genomic	99.93
GCF_001559675.1_ASM155967v1_genomic	GCF_049569765.1_ASM4956976v1_genomic	98.27
GCF_003112245.1_ASM311224v1_genomic	GCF_008124285.1_ASM812428v1_genomic	98.45
GCF_003112245.1_ASM311224v1_genomic	GCF_047344975.1_ASM4734497v1_genomic	98.43
GCF_003112245.1_ASM311224v1_genomic	GCF_049569765.1_ASM4956976v1_genomic	99.98
GCF_004684345.1_ASM468434v1_genomic	GCF_018128425.1_ASM1812842v1_genomic	83.95
GCF_004684345.1_ASM468434v1_genomic	GCF_021278985.1_ASM2127898v1_genomic	82.96
GCF_004684345.1_ASM468434v1_genomic	GCF_023374935.1_ASM2337493v1_genomic	88.40
GCF_004684345.1_ASM468434v1_genomic	GCF_041320245.1_ASM4132024v1_genomic	88.04
GCF_008124285.1_ASM812428v1_genomic	GCF_018128425.1_ASM1812842v1_genomic	82.88
GCF_008124285.1_ASM812428v1_genomic	GCF_047344975.1_ASM4734497v1_genomic	99.95
GCF_008124285.1_ASM812428v1_genomic	GCF_049569765.1_ASM4956976v1_genomic	98.47
GCF_011045835.1_ASM1104583v1_genomic	GCF_022369495.1_ASM2236949v1_genomic	91.93
GCF_018128425.1_ASM1812842v1_genomic	GCF_021278985.1_ASM2127898v1_genomic	87.42
GCF_018128425.1_ASM1812842v1_genomic	GCF_023374935.1_ASM2337493v1_genomic	84.02
GCF_018128425.1_ASM1812842v1_genomic	GCF_041320245.1_ASM4132024v1_genomic	83.73
GCF_018128425.1_ASM1812842v1_genomic	GCF_049569765.1_ASM4956976v1_genomic	83.71
GCF_021278985.1_ASM2127898v1_genomic	GCF_041320245.1_ASM4132024v1_genomic	83.35
GCF_023374935.1_ASM2337493v1_genomic	GCF_041320245.1_ASM4132024v1_genomic	91.02
GCF_035747985.1_ASM3574798v1_genomic	GCF_041953975.1_ASM4195397v1_genomic	85.10
GCF_039718975.1_ASM3971897v1_genomic	GCF_041937165.1_UNISA_Eadel_1.0_genomic	90.02
GCF_039718975.1_ASM3971897v1_genomic	GCF_048568405.1_ASM4856840v1_genomic	89.26
GCF_039718975.1_ASM3971897v1_genomic	GCF_905331265.2_AI2999v1_cpp_genomic	89.55
GCF_041320245.1_ASM4132024v1_genomic	GCF_041937165.1_UNISA_Eadel_1.0_genomic	85.14
GCF_041937165.1_UNISA_Eadel_1.0_genomic	GCF_048568405.1_ASM4856840v1_genomic	87.79
GCF_041937165.1_UNISA_Eadel_1.0_genomic	GCF_905331265.2_AI2999v1_cpp_genomic	88.59
GCF_047344975.1_ASM4734497v1_genomic	GCF_049569765.1_ASM4956976v1_genomic	98.45
GCF_048568405.1_ASM4856840v1_genomic	GCF_905331265.2_AI2999v1_cpp_genomic	88.21
