p1	g1	p2	g2	ani
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NC_016846.1	GCF_000240185.1_ASM24018v2_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NC_016839.1	GCF_000240185.1_ASM24018v2_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP011601.1	GCF_001022135.1_ASM102213v1_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP011598.1	GCF_001022135.1_ASM102213v1_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP047350.1	GCF_011045835.1_ASM1104583v1_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP059691.1	GCF_022369495.1_ASM2236949v1_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP092467.1	GCF_023374935.1_ASM2337493v1_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP130155.1	GCF_030505655.1_ASM3050565v1_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP145932.1	GCF_036898185.1_ASM3689818v1_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP097174.1	GCF_039718975.1_ASM3971897v1_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP101037.1	GCF_041320245.1_ASM4132024v1_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP101038.1	GCF_041320245.1_ASM4132024v1_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP154354.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP154355.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP154356.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP183774.1	GCF_048568405.1_ASM4856840v1_genomic	100.00
CP035756.1	GCA_000167875.2_ASM16787v2_genomic	NZ_CP183773.1	GCF_048568405.1_ASM4856840v1_genomic	100.00
NZ_CP006666.1	GCF_000264765.2_ASM26476v2_genomic	NZ_CP011601.1	GCF_001022135.1_ASM102213v1_genomic	100.00
NZ_CP006666.1	GCF_000264765.2_ASM26476v2_genomic	NZ_CP092467.1	GCF_023374935.1_ASM2337493v1_genomic	100.00
NZ_CP006666.1	GCF_000264765.2_ASM26476v2_genomic	NZ_CP101037.1	GCF_041320245.1_ASM4132024v1_genomic	100.00
NZ_CP006666.1	GCF_000264765.2_ASM26476v2_genomic	NZ_CP154354.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
NZ_CP011137.1	GCF_000968515.1_ASM96851v1_genomic	NZ_CP077464.1	GCF_049569765.1_ASM4956976v1_genomic	100.00
NZ_CP011601.1	GCF_001022135.1_ASM102213v1_genomic	NZ_CP101037.1	GCF_041320245.1_ASM4132024v1_genomic	99.94
NZ_CP011601.1	GCF_001022135.1_ASM102213v1_genomic	NZ_CP154354.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	99.92
NZ_CP011601.1	GCF_001022135.1_ASM102213v1_genomic	NZ_CP154357.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
NZ_CP011601.1	GCF_001022135.1_ASM102213v1_genomic	NZ_CP169567.1	GCF_041953975.1_ASM4195397v1_genomic	100.00
NZ_CP011599.1	GCF_001022135.1_ASM102213v1_genomic	NZ_CP154358.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
NZ_CP028118.1	GCF_003112245.1_ASM311224v1_genomic	NZ_CP077463.1	GCF_049569765.1_ASM4956976v1_genomic	99.96
NZ_CP028119.1	GCF_003112245.1_ASM311224v1_genomic	NZ_CP077464.1	GCF_049569765.1_ASM4956976v1_genomic	100.00
NZ_CP038468.1	GCF_004684345.1_ASM468434v1_genomic	NZ_CP077461.1	GCF_049569765.1_ASM4956976v1_genomic	99.72
NZ_CP047351.1	GCF_011045835.1_ASM1104583v1_genomic	NZ_CP135991.1	GCF_030315915.2_ASM3031591v2_genomic	100.00
NZ_CP047350.1	GCF_011045835.1_ASM1104583v1_genomic	NZ_CP077461.1	GCF_049569765.1_ASM4956976v1_genomic	99.09
NZ_CP071071.1	GCF_018128425.1_ASM1812842v1_genomic	NZ_CP142096.1	GCF_035747985.1_ASM3574798v1_genomic	99.15
NZ_CP071071.1	GCF_018128425.1_ASM1812842v1_genomic	NZ_CP154357.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
NZ_CP071071.1	GCF_018128425.1_ASM1812842v1_genomic	NZ_CP077461.1	GCF_049569765.1_ASM4956976v1_genomic	99.09
NZ_CP071072.1	GCF_018128425.1_ASM1812842v1_genomic	NZ_CP154358.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
NZ_CP059691.1	GCF_022369495.1_ASM2236949v1_genomic	NZ_CP101037.1	GCF_041320245.1_ASM4132024v1_genomic	99.27
NZ_CP092467.1	GCF_023374935.1_ASM2337493v1_genomic	NZ_CP154357.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
NZ_CP100495.1	GCF_024224615.1_ASM2422461v1_genomic	NZ_CP130155.1	GCF_030505655.1_ASM3050565v1_genomic	99.15
NZ_CP100495.1	GCF_024224615.1_ASM2422461v1_genomic	NZ_CP154358.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
NZ_CP130155.1	GCF_030505655.1_ASM3050565v1_genomic	NZ_CP145932.1	GCF_036898185.1_ASM3689818v1_genomic	100.00
NZ_CP130155.1	GCF_030505655.1_ASM3050565v1_genomic	NZ_CP101039.1	GCF_041320245.1_ASM4132024v1_genomic	100.00
NZ_CP130155.1	GCF_030505655.1_ASM3050565v1_genomic	NZ_CP183773.1	GCF_048568405.1_ASM4856840v1_genomic	99.08
NZ_CP130154.1	GCF_030505655.1_ASM3050565v1_genomic	NZ_CP154357.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
NZ_CP145933.1	GCF_036898185.1_ASM3689818v1_genomic	NZ_CP154357.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
NZ_CP101037.1	GCF_041320245.1_ASM4132024v1_genomic	NZ_CP154354.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	99.77
NZ_CP101038.1	GCF_041320245.1_ASM4132024v1_genomic	NZ_CP154357.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	100.00
NZ_CP101038.1	GCF_041320245.1_ASM4132024v1_genomic	NZ_CP169567.1	GCF_041953975.1_ASM4195397v1_genomic	100.00
NZ_CP154354.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	NZ_CP169567.1	GCF_041953975.1_ASM4195397v1_genomic	100.00
NZ_CP154357.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	NZ_CP169567.1	GCF_041953975.1_ASM4195397v1_genomic	100.00
NZ_CP154358.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	NZ_CP183774.1	GCF_048568405.1_ASM4856840v1_genomic	100.00
NZ_CP154358.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	NZ_CP077461.1	GCF_049569765.1_ASM4956976v1_genomic	100.00
NZ_CP154358.1	GCF_041937165.1_UNISA_Eadel_1.0_genomic	NZ_OX461106.1	GCF_949794035.1_EBP3064_genome_genomic	100.00
