genome	strain_group	group_size
GCF_000005845.2_ASM584v2_genomic	SG0003	2
GCF_008124285.1_ASM812428v1_genomic	SG0003	2
GCA_000167875.2_ASM16787v2_genomic	SG0009	1
GCF_000009065.1_ASM906v1_genomic	SG0026	1
GCF_000240185.1_ASM24018v2_genomic	SG0066	1
GCF_000264765.2_ASM26476v2_genomic	SG0073	1
GCF_000968515.1_ASM96851v1_genomic	SG0104	1
GCF_001022135.1_ASM102213v1_genomic	SG0112	1
GCF_001277215.2_ASM127721v2_genomic	SG0117	1
GCF_001559675.1_ASM155967v1_genomic	SG0121	1
GCF_003112245.1_ASM311224v1_genomic	SG0157	1
GCF_004684345.1_ASM468434v1_genomic	SG0176	1
GCF_009649915.1_ASM964991v1_genomic	SG0207	1
GCF_011045835.1_ASM1104583v1_genomic	SG0217	1
GCF_018128425.1_ASM1812842v1_genomic	SG0268	1
GCF_020150375.1_ASM2015037v1_genomic	SG0295	1
GCF_021278985.1_ASM2127898v1_genomic	SG0311	1
GCF_022369495.1_ASM2236949v1_genomic	SG0318	1
GCF_023374935.1_ASM2337493v1_genomic	SG0326	1
GCF_023517775.1_ASM2351777v1_genomic	SG0327	1
GCF_024224615.1_ASM2422461v1_genomic	SG0334	1
GCF_030053895.1_ASM3005389v1_genomic	SG0354	1
GCF_030315915.2_ASM3031591v2_genomic	SG0357	1
GCF_030505655.1_ASM3050565v1_genomic	SG0366	1
GCF_035747985.1_ASM3574798v1_genomic	SG0374	1
GCF_036898185.1_ASM3689818v1_genomic	SG0379	1
GCF_039718975.1_ASM3971897v1_genomic	SG0385	1
GCF_041320245.1_ASM4132024v1_genomic	SG0391	1
GCF_041937165.1_UNISA_Eadel_1.0_genomic	SG0394	1
GCF_041953975.1_ASM4195397v1_genomic	SG0396	1
GCF_047344975.1_ASM4734497v1_genomic	SG0409	1
GCF_048568405.1_ASM4856840v1_genomic	SG0410	1
GCF_049569765.1_ASM4956976v1_genomic	SG0411	1
GCF_049942935.1_z1159_genomic	SG0415	1
GCF_905331265.2_AI2999v1_cpp_genomic	SG0453	1
GCF_949794035.1_EBP3064_genome_genomic	SG0454	1
