tier	genome	nn_ani	fdr	n_links
0.01x	GCA_000167875.2_ASM16787v2_genomic	99.67	0.000000	64
0.01x	GCF_000005845.2_ASM584v2_genomic	99.97	0.000000	14
0.01x	GCF_000009065.1_ASM906v1_genomic	99.29	0.000000	6505
0.01x	GCF_000240185.1_ASM24018v2_genomic	94.97	0.030457	1970
0.01x	GCF_000264765.2_ASM26476v2_genomic	94.82	0.000000	1711
0.01x	GCF_000968515.1_ASM96851v1_genomic	99.59	0.500000	72
0.01x	GCF_001022135.1_ASM102213v1_genomic	85.61	0.026219	2708
0.01x	GCF_001277215.2_ASM127721v2_genomic	94.82	0.000000	1561
0.01x	GCF_001559675.1_ASM155967v1_genomic	99.97	0.058824	85
0.01x	GCF_003112245.1_ASM311224v1_genomic	99.98	0.000000	72
0.01x	GCF_004684345.1_ASM468434v1_genomic	88.42	0.000000	1793
0.01x	GCF_008124285.1_ASM812428v1_genomic	99.95	0.000000	1
0.01x	GCF_009649915.1_ASM964991v1_genomic	85.95	0.000000	1748
0.01x	GCF_011045835.1_ASM1104583v1_genomic	93.02	0.000000	1210
0.01x	GCF_018128425.1_ASM1812842v1_genomic	87.42	0.012077	1656
0.01x	GCF_020150375.1_ASM2015037v1_genomic	84.69	0.000000	1997
0.01x	GCF_021278985.1_ASM2127898v1_genomic	87.42	0.000000	3637
0.01x	GCF_022369495.1_ASM2236949v1_genomic	91.93	0.023292	1288
0.01x	GCF_023374935.1_ASM2337493v1_genomic	94.33	0.000000	1799
0.01x	GCF_023517775.1_ASM2351777v1_genomic	89.45	0.000000	1911
0.01x	GCF_024224615.1_ASM2422461v1_genomic	86.72	0.000000	1633
0.01x	GCF_030053895.1_ASM3005389v1_genomic	82.74	0.000000	1340
0.01x	GCF_030315915.2_ASM3031591v2_genomic	94.53	0.000000	1469
0.01x	GCF_030505655.1_ASM3050565v1_genomic	95.46	0.000000	1997
0.01x	GCF_035747985.1_ASM3574798v1_genomic	85.10	0.000000	1591
0.01x	GCF_036898185.1_ASM3689818v1_genomic	92.25	0.000000	1442
0.01x	GCF_039718975.1_ASM3971897v1_genomic	93.91	0.000000	1614
0.01x	GCF_041320245.1_ASM4132024v1_genomic	92.48	0.000000	1856
0.01x	GCF_041937165.1_UNISA_Eadel_1.0_genomic	91.02	0.000000	1868
0.01x	GCF_041953975.1_ASM4195397v1_genomic	85.10	0.000000	1525
0.01x	GCF_047344975.1_ASM4734497v1_genomic	99.95	0.333333	33
0.01x	GCF_048568405.1_ASM4856840v1_genomic	94.32	0.000000	1945
0.01x	GCF_049569765.1_ASM4956976v1_genomic	99.98	0.434783	23
0.01x	GCF_049942935.1_z1159_genomic	83.42	0.000000	1545
0.01x	GCF_905331265.2_AI2999v1_cpp_genomic	89.80	0.000000	1710
0.01x	GCF_949794035.1_EBP3064_genome_genomic	91.68	0.000000	2010
0.1x	GCA_000167875.2_ASM16787v2_genomic	99.67	0.079845	9794
0.1x	GCF_000005845.2_ASM584v2_genomic	99.97	0.192012	651
0.1x	GCF_000009065.1_ASM906v1_genomic	99.29	0.003340	86818
0.1x	GCF_000240185.1_ASM24018v2_genomic	94.97	0.025388	88427
0.1x	GCF_000264765.2_ASM26476v2_genomic	94.82	0.000243	74068
0.1x	GCF_000968515.1_ASM96851v1_genomic	99.59	0.139363	4865
0.1x	GCF_001022135.1_ASM102213v1_genomic	85.61	0.024265	92725
0.1x	GCF_001277215.2_ASM127721v2_genomic	94.82	0.001590	75449
0.1x	GCF_001559675.1_ASM155967v1_genomic	99.97	0.084166	4503
0.1x	GCF_003112245.1_ASM311224v1_genomic	99.98	0.053373	6745
0.1x	GCF_004684345.1_ASM468434v1_genomic	88.42	0.000144	76396
0.1x	GCF_008124285.1_ASM812428v1_genomic	99.95	0.126299	1251
0.1x	GCF_009649915.1_ASM964991v1_genomic	85.95	0.006214	78208
0.1x	GCF_011045835.1_ASM1104583v1_genomic	93.02	0.062028	68953
0.1x	GCF_018128425.1_ASM1812842v1_genomic	87.42	0.020595	78127
0.1x	GCF_020150375.1_ASM2015037v1_genomic	84.69	0.000953	80799
0.1x	GCF_021278985.1_ASM2127898v1_genomic	87.42	0.013005	87429
